country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","21-08-2025 09:00:00",28.3153,76.9143,SO2,4,10,7
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","21-08-2025 09:00:00",23.80569,86.44268,NO2,75,136,85
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","21-08-2025 09:00:00",23.80569,86.44268,CO,NA,NA,NA
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","21-08-2025 09:00:00",28.672342,77.315260,NO2,21,44,30
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","21-08-2025 09:00:00",28.699793,77.165453,NH3,7,11,9
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","21-08-2025 09:00:00",23.041137,72.456691,SO2,1,3,2
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","21-08-2025 09:00:00",23.233584,77.400574,NH3,7,10,7
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","21-08-2025 09:00:00",23.233584,77.400574,OZONE,8,28,14
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","21-08-2025 09:00:00",23.81748678,79.446246,PM10,3,37,14
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","21-08-2025 09:00:00",22.9682591,76.064118,PM10,7,62,33
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","21-08-2025 09:00:00",22.9682591,76.064118,NH3,2,2,2
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","21-08-2025 09:00:00",22.9682591,76.064118,SO2,27,78,52
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","21-08-2025 09:00:00",26.203442,78.193251,CO,7,48,41
